,trade_dt_x,wind_code,CITICS_IND_CODE
33860,2019-08-30,603329.SH,b10o020200
33873,2019-02-28,603871.SH,b10o020200
33875,2019-04-30,603871.SH,b10o020200
33878,2019-07-31,603871.SH,b10o020200
33910,2019-01-31,300740.SZ,b106040100
33913,2019-04-30,300740.SZ,b106040100
33941,2019-02-28,603059.SH,b109020300
33942,2019-03-29,603059.SH,b109020300
33961,2019-02-28,603506.SH,b10n020100
33962,2019-03-29,603506.SH,b10n020100
33965,2019-06-28,603506.SH,b10n020100
33966,2019-07-31,603506.SH,b10n020100
33969,2019-10-31,603506.SH,b10n020100
33976,2019-07-31,603516.SH,b10r010200
33978,2019-09-30,603516.SH,b10r010200
33979,2019-10-31,603516.SH,b10r010200
33990,2019-01-31,603709.SH,b109020300
33992,2019-03-29,603709.SH,b109020300
33993,2019-04-30,603709.SH,b109020300
33994,2019-05-31,603709.SH,b109020300
34017,2019-08-30,002931.SZ,b10a030400
34091,2019-02-28,300742.SZ,b10d030100
34092,2019-03-29,300742.SZ,b10d030100
34099,2019-10-31,300742.SZ,b10d030100
34110,2019-01-31,603013.SH,b10d030100
34187,2019-10-31,300750.SZ,b10d030100
34225,2019-01-31,603348.SH,b10d030100
34244,2019-10-31,603587.SH,b10h040400
34263,2019-09-30,300454.SZ,b10r020200
34264,2019-10-31,300454.SZ,b10r020200
34300,2019-07-31,603105.SH,b10b030300
34306,2019-03-29,603486.SH,b10a020300
34312,2019-09-30,603486.SH,b10a020300
34331,2019-08-30,603666.SH,b10a020300
34343,2019-01-31,603706.SH,b104020300
34356,2019-04-30,603713.SH,b10o020200
34363,2019-01-31,300724.SZ,b10a020300
34365,2019-03-29,300724.SZ,b10a020300
34394,2019-02-28,603657.SH,b10g040200
34398,2019-06-28,603657.SH,b10g040200
34463,2019-03-29,603192.SH,b106030700
34471,2019-01-31,603297.SH,b10p030100
34472,2019-02-28,603297.SH,b10p030100
34483,2019-03-29,603583.SH,b10a020300
34485,2019-05-31,603583.SH,b10a020300
34492,2019-02-28,603590.SH,b10i030100
34522,2019-03-29,002940.SZ,b10i010200
34532,2019-03-29,300749.SZ,b109020300
34545,2019-09-30,300760.SZ,b10i040200
34575,2019-01-31,300751.SZ,b10b030300
34576,2019-02-28,300751.SZ,b10b030300
34577,2019-03-29,300751.SZ,b10b030300
34578,2019-04-30,300751.SZ,b10a020300
34583,2019-09-30,300751.SZ,b10a020300
34646,2019-04-30,300674.SZ,b10r030100
34654,2019-02-28,300752.SZ,b10p020100
34655,2019-03-29,300752.SZ,b10p020100
34656,2019-04-30,300752.SZ,b10p020100
34665,2019-03-29,300753.SZ,b10i040200
34672,2019-10-31,300753.SZ,b10i040200
34675,2019-03-29,603187.SH,b10g010100
34676,2019-04-30,603187.SH,b10g010100
34684,2019-03-29,603629.SH,b10p020100
34701,2019-02-28,300756.SZ,b10a020300
34702,2019-03-29,300756.SZ,b10a020300
34708,2019-09-30,300756.SZ,b10a020300
34712,2019-03-29,300757.SZ,b10a020300
34713,2019-04-30,300757.SZ,b10a020300
34714,2019-05-31,300757.SZ,b10a020300
34719,2019-10-31,300757.SZ,b10a020300
34754,2019-03-29,603121.SH,b10d030100
34773,2019-04-30,603739.SH,b10k020100
34803,2019-03-29,002947.SZ,b10p030100
34813,2019-05-31,300755.SZ,b10e010300
34815,2019-07-31,300755.SZ,b10e010300
34833,2019-10-31,300761.SZ,b10k020300
34850,2019-03-29,603351.SH,b10i010100
34858,2019-03-29,603700.SH,b10a050100
34868,2019-05-31,002949.SZ,b107010100
34870,2019-07-31,002949.SZ,b107010100
34876,2019-05-31,002950.SZ,b10i040200
34883,2019-05-31,002951.SZ,b109020200
34899,2019-07-31,300763.SZ,b10b020100
34912,2019-06-28,601865.SH,b108020100
34913,2019-07-31,601865.SH,b108020100
34915,2019-09-30,601865.SH,b108020100
34916,2019-10-31,601865.SH,b108020100
34962,2019-04-30,300769.SZ,b106040700
34965,2019-07-31,300769.SZ,b106040700
34969,2019-04-30,300770.SZ,b10s010200
34972,2019-07-31,300770.SZ,b10s010200
34973,2019-08-30,300770.SZ,b10s010200
34974,2019-09-30,300770.SZ,b10s010200
34975,2019-10-31,300770.SZ,b10s010200
34978,2019-07-31,300771.SZ,b10r010200
34980,2019-09-30,300771.SZ,b10r010200
35026,2019-09-30,300773.SZ,b10m030200
35032,2019-09-30,300776.SZ,b10p020100
35033,2019-10-31,300776.SZ,b10p020100
35048,2019-07-31,603267.SH,b10p020100
35063,2019-07-31,002956.SZ,b10j030400
35065,2019-09-30,002956.SZ,b10j030400
35077,2019-07-31,300777.SZ,b106040700
35082,2019-07-31,300780.SZ,b10a030400
35087,2019-08-30,603217.SH,b106040700
35090,2019-06-28,603327.SH,b10p030100
35091,2019-07-31,603327.SH,b10p030100
35093,2019-09-30,603327.SH,b10p030100
35096,2019-07-31,603697.SH,b10j030400
35106,2019-07-31,603982.SH,b10d030100
35112,2019-09-30,300594.SZ,b10a040100
