,trade_dt_x,wind_code,CITICS_IND_CODE
1644,2019-03-29,000035.SZ,b104020100
1645,2019-04-30,000035.SZ,b104020100
1646,2019-05-31,000035.SZ,b104020100
1647,2019-06-28,000035.SZ,b104020100
1648,2019-07-31,000035.SZ,b104020100
1649,2019-08-30,000035.SZ,b104020100
1650,2019-09-30,000035.SZ,b104020100
1651,2019-10-31,000035.SZ,b104020100
1700,2019-01-31,000036.SZ,b10n010100
1701,2019-02-28,000036.SZ,b10n010100
1702,2019-03-29,000036.SZ,b10n010100
1703,2019-04-30,000036.SZ,b10n010100
1704,2019-05-31,000036.SZ,b10n010100
1705,2019-06-28,000036.SZ,b10n010100
1706,2019-07-31,000036.SZ,b10n010100
1707,2019-08-30,000036.SZ,b10n010100
1708,2019-09-30,000036.SZ,b10n010100
1709,2019-10-31,000036.SZ,b10n010100
1756,2019-01-31,000037.SZ,b104010100
1757,2019-03-29,000037.SZ,b104010100
1758,2019-04-30,000037.SZ,b104010100
1759,2019-05-31,000037.SZ,b104010100
1760,2019-06-28,000037.SZ,b104010100
1761,2019-07-31,000037.SZ,b104010100
1762,2019-08-30,000037.SZ,b104010100
1763,2019-09-30,000037.SZ,b104010100
1764,2019-10-31,000037.SZ,b104010100
1812,2019-01-31,000038.SZ,b10s010500
1813,2019-02-28,000038.SZ,b10s010500
1814,2019-03-29,000038.SZ,b10s010500
1815,2019-04-30,000038.SZ,b10s010500
1816,2019-05-31,000038.SZ,b10s010500
1817,2019-06-28,000038.SZ,b10s010500
1818,2019-07-31,000038.SZ,b10s010500
1819,2019-08-30,000038.SZ,b10s010500
1820,2019-09-30,000038.SZ,b10s010500
1821,2019-10-31,000038.SZ,b10s010500
1870,2019-01-31,000039.SZ,b10a030300
1871,2019-02-28,000039.SZ,b10a030300
1872,2019-03-29,000039.SZ,b10a030300
1873,2019-04-30,000039.SZ,b10a030300
1874,2019-05-31,000039.SZ,b10a030300
1875,2019-06-28,000039.SZ,b10a030300
1876,2019-07-31,000039.SZ,b10a030300
1877,2019-08-30,000039.SZ,b10a030300
1878,2019-09-30,000039.SZ,b10a030300
1879,2019-10-31,000039.SZ,b10a030300
1927,2019-01-31,000042.SZ,b10n010100
1928,2019-02-28,000042.SZ,b10n010100
1929,2019-03-29,000042.SZ,b10n010100
1930,2019-04-30,000042.SZ,b10n010100
1931,2019-05-31,000042.SZ,b10n010100
1932,2019-06-28,000042.SZ,b10n010100
1933,2019-07-31,000042.SZ,b10n010100
1934,2019-08-30,000042.SZ,b10n010100
1935,2019-09-30,000042.SZ,b10n010100
1936,2019-10-31,000042.SZ,b10n010100
1985,2019-01-31,000045.SZ,b10p030100
1986,2019-02-28,000045.SZ,b10p030100
1987,2019-03-29,000045.SZ,b10p030100
1988,2019-04-30,000045.SZ,b10p030100
1989,2019-05-31,000045.SZ,b10p030100
1990,2019-06-28,000045.SZ,b10p030100
1991,2019-07-31,000045.SZ,b10p030100
1992,2019-08-30,000045.SZ,b10p030100
1993,2019-09-30,000045.SZ,b10p030100
1994,2019-10-31,000045.SZ,b10p030100
2043,2019-01-31,000046.SZ,b10n010100
2044,2019-02-28,000046.SZ,b10n010100
2045,2019-03-29,000046.SZ,b10n010100
2046,2019-04-30,000046.SZ,b10n010100
2047,2019-05-31,000046.SZ,b10n010100
2048,2019-06-28,000046.SZ,b10n010100
2049,2019-07-31,000046.SZ,b10n010100
2050,2019-08-30,000046.SZ,b10n010100
2051,2019-09-30,000046.SZ,b10n010100
2052,2019-10-31,000046.SZ,b10n010100
2097,2019-02-28,000048.SZ,b10k020100
2098,2019-03-29,000048.SZ,b10k020100
2099,2019-04-30,000048.SZ,b10k020100
2100,2019-05-31,000048.SZ,b10k020100
2101,2019-06-28,000048.SZ,b10k020100
2102,2019-07-31,000048.SZ,b10k020100
2103,2019-08-30,000048.SZ,b10k020100
2104,2019-09-30,000048.SZ,b10k020100
2105,2019-10-31,000048.SZ,b10k020100
2152,2019-01-31,000049.SZ,b10p030100
2153,2019-02-28,000049.SZ,b10p030100
2154,2019-03-29,000049.SZ,b10p030100
2155,2019-04-30,000049.SZ,b10p030100
2156,2019-05-31,000049.SZ,b10p030100
2157,2019-06-28,000049.SZ,b10p030100
2158,2019-07-31,000049.SZ,b10p030100
2159,2019-08-30,000049.SZ,b10p030100
2160,2019-09-30,000049.SZ,b10p030100
2161,2019-10-31,000049.SZ,b10p030100
2209,2019-01-31,000050.SZ,b10p030100
2210,2019-02-28,000050.SZ,b10p030100
2211,2019-03-29,000050.SZ,b10p030100
2212,2019-04-30,000050.SZ,b10p030100
2213,2019-05-31,000050.SZ,b10p030100
2214,2019-06-28,000050.SZ,b10p030100
2215,2019-07-31,000050.SZ,b10p030100
2216,2019-08-30,000050.SZ,b10p030100
2217,2019-09-30,000050.SZ,b10p030100
2218,2019-10-31,000050.SZ,b10p030100
2265,2019-02-28,000055.SZ,b108030200
2266,2019-03-29,000055.SZ,b108030200
2267,2019-04-30,000055.SZ,b108030200
2268,2019-05-31,000055.SZ,b108030200
2269,2019-06-28,000055.SZ,b108030200
2270,2019-07-31,000055.SZ,b108030200
2271,2019-08-30,000055.SZ,b108030200
2272,2019-09-30,000055.SZ,b108030200
2273,2019-10-31,000055.SZ,b108030200
2322,2019-01-31,000056.SZ,b10n010200
2323,2019-02-28,000056.SZ,b10n010200
2324,2019-03-29,000056.SZ,b10n010200
2325,2019-04-30,000056.SZ,b10n010200
2326,2019-05-31,000056.SZ,b10n010200
2327,2019-06-28,000056.SZ,b10n010200
2328,2019-07-31,000056.SZ,b10n010200
2329,2019-08-30,000056.SZ,b10n010200
2330,2019-09-30,000056.SZ,b10n010200
2331,2019-10-31,000056.SZ,b10n010200
2377,2019-01-31,000058.SZ,b10n010200
2378,2019-02-28,000058.SZ,b10n010200
2379,2019-03-29,000058.SZ,b10n010200
2380,2019-04-30,000058.SZ,b10n010200
2381,2019-05-31,000058.SZ,b10n010200
2382,2019-06-28,000058.SZ,b10n010200
2383,2019-07-31,000058.SZ,b10n010200
2384,2019-08-30,000058.SZ,b10n010200
2385,2019-09-30,000058.SZ,b10n010200
2386,2019-10-31,000058.SZ,b10n010200
2434,2019-01-31,000059.SZ,b101020100
2435,2019-02-28,000059.SZ,b101020100
2436,2019-03-29,000059.SZ,b101020100
2437,2019-04-30,000059.SZ,b101020100
2438,2019-05-31,000059.SZ,b101020100
2439,2019-06-28,000059.SZ,b101020100
2440,2019-07-31,000059.SZ,b101020100
2441,2019-08-30,000059.SZ,b101020100
